Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,392,1,2008-10-28,CLE,@,BOS,L 85-90,*,36:00,9,21,.429,0,4,.000,9,17,.529,.429,4,8,.500,1,6,7,6,2,1,3,4,22,14.1,-3
2,393,2,2008-10-30,CLE,,CHA,W 96-79,*,30:16,7,15,.467,0,2,.000,7,13,.538,.467,8,12,.667,2,7,9,9,0,1,5,3,22,17.0,10
3,394,3,2008-11-01,CLE,@,NOH,L 92-104,*,37:43,6,15,.400,0,3,.000,6,12,.500,.400,3,4,.750,2,5,7,13,3,0,5,3,15,15.3,-8
4,395,4,2008-11-03,CLE,@,DAL,W 100-81,*,34:08,8,20,.400,0,2,.000,8,18,.444,.400,13,15,.867,2,6,8,3,2,1,1,1,29,24.0,13
5,396,5,2008-11-05,CLE,,CHI,W 107-93,*,35:50,13,23,.565,0,2,.000,13,21,.619,.565,15,16,.938,2,7,9,6,4,0,5,1,41,36.0,22
6,397,6,2008-11-07,CLE,,IND,W 111-107,*,39:20,11,24,.458,1,6,.167,10,18,.556,.479,4,7,.571,2,7,9,8,1,4,4,2,27,21.5,-3
7,398,7,2008-11-08,CLE,@,CHI,W 106-97,*,39:12,13,29,.448,4,7,.571,9,22,.409,.517,11,13,.846,4,9,13,4,0,0,2,1,41,31.0,12
8,399,8,2008-11-11,CLE,,MIL,W 99-93,*,42:46,16,24,.667,1,4,.250,15,20,.750,.688,8,10,.800,0,5,5,6,3,0,2,2,41,35.7,11
9,400,9,2008-11-13,CLE,,DEN,W 110-99,*,38:02,10,20,.500,0,0,,10,20,.500,.500,2,4,.500,1,7,8,11,3,0,5,4,22,18.1,14
10,401,10,2008-11-15,CLE,,UTA,W 105-93,*,42:03,13,21,.619,3,7,.429,10,14,.714,.690,9,11,.818,3,2,5,7,2,2,2,2,38,35.9,33
11,402,11,2008-11-18,CLE,@,NJN,W 106-82,*,35:58,9,20,.450,1,4,.250,8,16,.500,.475,12,17,.706,0,8,8,4,0,1,3,3,31,20.3,17
12,403,12,2008-11-19,CLE,@,DET,L 89-96,*,39:30,8,21,.381,0,4,.000,8,17,.471,.381,9,10,.900,1,5,6,6,4,0,3,1,25,20.1,-5
13,404,13,2008-11-22,CLE,,ATL,W 110-96,*,36:35,8,19,.421,1,4,.250,7,15,.467,.447,7,7,1.000,1,6,7,8,2,0,2,3,24,20.8,16
14,405,14,2008-11-25,CLE,@,NYK,W 119-101,*,30:20,7,14,.500,3,7,.429,4,7,.571,.607,9,11,.818,0,4,4,1,1,1,1,0,26,20.8,17
