Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,47,1,2009-04-18,CLE,,DET,W 102-84,*,40:52,13,20,.650,1,4,.250,12,16,.750,.675,11,14,.786,0,8,8,7,1,0,0,1,38,35.9,22
2,48,2,2009-04-21,CLE,,DET,W 94-82,*,37:55,7,14,.500,2,5,.400,5,9,.556,.571,13,17,.765,1,12,13,6,0,0,2,1,29,26.5,21
3,49,3,2009-04-24,CLE,@,DET,W 79-68,*,42:44,9,19,.474,0,5,.000,9,14,.643,.474,7,11,.636,2,9,11,9,3,2,2,0,25,26.5,13
4,50,4,2009-04-26,CLE,@,DET,W 99-78,*,40:39,10,24,.417,0,3,.000,10,21,.476,.417,16,17,.941,1,12,13,8,2,1,2,3,36,32.2,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,51,5,2009-05-05,CLE,,ATL,W 99-72,*,34:19,12,20,.600,2,6,.333,10,14,.714,.650,8,9,.889,3,7,10,3,4,0,3,0,34,31.7,13
6,52,6,2009-05-07,CLE,,ATL,W 105-85,*,31:10,9,14,.643,3,5,.600,6,9,.667,.750,6,12,.500,0,3,3,5,4,1,0,1,27,27.1,23
7,53,7,2009-05-09,CLE,@,ATL,W 97-82,*,43:14,15,25,.600,5,10,.500,10,15,.667,.700,12,16,.750,2,10,12,8,1,1,1,2,47,43.8,26
8,54,8,2009-05-11,CLE,@,ATL,W 84-74,*,43:25,9,22,.409,3,6,.500,6,16,.375,.477,6,9,.667,0,8,8,8,1,0,3,3,27,18.8,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,55,9,2009-05-20,CLE,,ORL,L 106-107,*,41:14,20,30,.667,3,6,.500,17,24,.708,.717,6,10,.600,3,3,6,8,2,3,2,1,49,44.7,7
10,56,10,2009-05-22,CLE,,ORL,W 96-95,*,42:32,12,23,.522,1,3,.333,11,20,.550,.543,10,12,.833,2,2,4,5,1,0,6,3,35,22.2,-7
11,57,11,2009-05-24,CLE,@,ORL,L 89-99,*,41:57,11,28,.393,1,8,.125,10,20,.500,.411,18,24,.750,0,7,7,9,2,1,2,3,41,31.3,-12
12,58,12,2009-05-26,CLE,@,ORL,L 114-116 (OT),*,49:24,13,29,.448,4,10,.400,9,19,.474,.517,14,18,.778,1,11,12,7,1,1,8,5,44,27.9,6
13,59,13,2009-05-28,CLE,,ORL,W 112-102,*,45:30,11,24,.458,0,2,.000,11,22,.500,.458,15,19,.789,3,11,14,12,1,1,4,3,37,33.3,11
14,60,14,2009-05-30,CLE,@,ORL,L 90-103,*,44:53,8,20,.400,2,8,.250,6,12,.500,.450,7,11,.636,1,6,7,7,0,1,3,4,25,16.1,-12
,,,,,,,10-4,14,580,159,312,.510,27,81,.333,132,231,.571,.553,149,199,.749,19,109,128,102,23,12,38,30,494,29.9,122
