Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,690,1,2012-10-30,MIA,,BOS,W 120-107,*,28:52,10,16,.625,2,4,.500,8,12,.667,.688,4,5,.800,1,9,10,3,2,0,0,2,26,25.1,12
2,691,2,2012-11-02,MIA,@,NYK,L 84-104,*,36:41,8,16,.500,2,3,.667,6,13,.462,.563,5,6,.833,0,7,7,5,0,3,5,2,23,16.5,-21
3,692,3,2012-11-03,MIA,,DEN,W 119-116,*,39:12,8,17,.471,0,1,.000,8,16,.500,.471,4,4,1.000,1,8,9,11,0,2,0,2,20,22.7,7
4,693,4,2012-11-05,MIA,,PHO,W 124-99,*,30:11,10,17,.588,2,3,.667,8,14,.571,.647,1,3,.333,3,8,11,1,0,0,3,2,23,15.7,25
5,694,5,2012-11-07,MIA,,BRK,W 103-73,*,29:59,7,12,.583,2,3,.667,5,9,.556,.667,4,4,1.000,4,8,12,8,1,0,2,1,20,23.8,18
6,695,6,2012-11-09,MIA,@,ATL,W 95-89,*,35:40,10,17,.588,0,2,.000,10,15,.667,.588,1,3,.333,2,9,11,9,1,0,2,2,21,20.9,0
7,696,7,2012-11-11,MIA,@,MEM,L 86-104,*,35:43,10,19,.526,0,1,.000,10,18,.556,.526,0,4,.000,3,7,10,6,2,1,2,2,20,17.4,-18
8,697,8,2012-11-12,MIA,@,HOU,W 113-110,*,39:55,14,26,.538,5,8,.625,9,18,.500,.635,5,8,.625,1,9,10,6,0,0,0,1,38,31.4,8
9,698,9,2012-11-14,MIA,@,LAC,L 100-107,*,41:13,12,23,.522,0,3,.000,12,20,.600,.522,6,9,.667,0,5,5,7,1,2,4,3,30,21.1,-15
10,699,10,2012-11-15,MIA,@,DEN,W 98-93,*,41:57,11,23,.478,0,1,.000,11,22,.500,.478,5,6,.833,1,6,7,12,1,3,4,0,27,24.9,9
11,700,11,2012-11-17,MIA,@,PHO,W 97-88,*,40:43,8,20,.400,1,3,.333,7,17,.412,.425,4,7,.571,0,7,7,3,2,0,1,1,21,13.8,20
