Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,116,1,2013-04-21,MIA,,MIL,W 110-87,*,34:31,9,11,.818,1,2,.500,8,9,.889,.864,8,11,.727,2,8,10,8,0,0,5,2,27,25.3,14
2,117,2,2013-04-23,MIA,,MIL,W 98-86,*,38:39,6,14,.429,0,3,.000,6,11,.545,.429,7,8,.875,1,7,8,6,1,0,4,2,19,14.4,13
3,118,3,2013-04-25,MIA,@,MIL,W 104-91,*,32:48,9,14,.643,2,4,.500,7,10,.700,.714,2,4,.500,0,5,5,6,0,0,5,2,22,14.9,14
4,119,4,2013-04-28,MIA,@,MIL,W 88-77,*,41:06,13,20,.650,0,2,.000,13,18,.722,.650,4,7,.571,2,6,8,7,3,1,5,3,30,25.6,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,120,5,2013-05-06,MIA,,CHI,L 86-93,*,43:44,8,17,.471,1,3,.333,7,14,.500,.500,7,9,.778,2,6,8,7,2,1,2,2,24,22.5,-15
6,121,6,2013-05-08,MIA,,CHI,W 115-78,*,32:29,7,12,.583,1,3,.333,6,9,.667,.625,4,8,.500,0,5,5,9,3,0,3,1,19,19.2,25
7,122,7,2013-05-10,MIA,@,CHI,W 104-94,*,44:25,6,17,.353,2,4,.500,4,13,.308,.412,11,11,1.000,0,8,8,7,2,0,1,0,25,23.8,7
8,123,8,2013-05-13,MIA,@,CHI,W 88-65,*,43:12,9,20,.450,1,4,.250,8,16,.500,.475,8,9,.889,0,7,7,8,2,0,5,0,27,20.9,27
9,124,9,2013-05-15,MIA,,CHI,W 94-91,*,44:26,5,14,.357,1,3,.333,4,11,.364,.393,12,15,.800,0,7,7,8,2,0,2,3,23,20.5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,125,10,2013-05-22,MIA,,IND,W 103-102 (OT),*,46:33,12,24,.500,2,6,.333,10,18,.556,.542,4,7,.571,3,7,10,10,0,3,4,5,30,24.1,3
11,126,11,2013-05-24,MIA,,IND,L 93-97,*,45:17,14,20,.700,3,7,.429,11,13,.846,.775,5,7,.714,4,4,8,3,3,1,5,3,36,30.4,-7
12,127,12,2013-05-26,MIA,@,IND,W 114-96,*,41:13,8,17,.471,0,1,.000,8,16,.500,.471,6,6,1.000,0,4,4,3,0,0,0,0,22,16.6,22
13,128,13,2013-05-28,MIA,@,IND,L 92-99,*,43:19,8,18,.444,4,7,.571,4,11,.364,.556,4,6,.667,4,2,6,5,1,3,2,6,24,19.4,-3
14,129,14,2013-05-30,MIA,,IND,W 90-79,*,44:29,13,26,.500,3,7,.429,10,19,.526,.558,1,4,.250,0,8,8,6,2,1,3,1,30,21.7,14
15,130,15,2013-06-01,MIA,@,IND,L 77-91,*,42:17,10,21,.476,2,4,.500,8,17,.471,.524,7,8,.875,0,7,7,6,2,1,4,2,29,22.1,-22
16,131,16,2013-06-03,MIA,,IND,W 99-76,*,40:49,8,17,.471,1,2,.500,7,15,.467,.500,15,16,.938,2,6,8,4,2,1,2,1,32,29.2,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,132,17,2013-06-06,MIA,,SAS,L 88-92,*,41:35,7,16,.438,1,5,.200,6,11,.545,.469,3,4,.750,2,16,18,10,0,0,2,0,18,20.4,-3
18,133,18,2013-06-09,MIA,,SAS,W 103-84,*,40:33,7,17,.412,1,3,.333,6,14,.429,.441,2,2,1.000,1,7,8,7,3,3,2,2,17,17.9,29
19,134,19,2013-06-11,MIA,@,SAS,L 77-113,*,39:07,7,21,.333,1,5,.200,6,16,.375,.357,0,0,,1,10,11,5,2,0,2,0,15,10.3,-32
20,135,20,2013-06-13,MIA,@,SAS,W 109-93,*,41:23,15,25,.600,1,2,.500,14,23,.609,.620,2,4,.500,3,8,11,4,2,2,1,2,33,29.6,8
21,136,21,2013-06-16,MIA,@,SAS,L 104-114,*,43:41,8,22,.364,2,4,.500,6,18,.333,.409,7,9,.778,3,3,6,8,4,0,3,1,25,21.2,-9
22,137,22,2013-06-18,MIA,,SAS,W 103-100 (OT),*,49:46,11,26,.423,1,5,.200,10,21,.476,.442,9,12,.750,4,6,10,11,3,1,6,3,32,25.8,-1
23,138,23,2013-06-20,MIA,,SAS,W 95-88,*,45:00,12,23,.522,5,10,.500,7,13,.538,.630,8,8,1.000,3,9,12,4,2,0,2,2,37,32.5,8
,,,,,,,16-7,23,960,212,432,.491,36,96,.375,176,336,.524,.532,136,175,.777,37,156,193,152,41,18,70,43,596,22.1,133
