Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,912,1,2015-10-27,CLE,@,CHI,L 95-97,*,36:04,12,22,.545,1,5,.200,11,17,.647,.568,0,3,.000,0,10,10,5,1,0,1,3,25,18.5,1
2,913,2,2015-10-28,CLE,@,MEM,W 106-76,*,30:48,4,13,.308,0,3,.000,4,10,.400,.308,4,8,.500,1,6,7,5,3,0,3,1,12,8.5,10
3,914,3,2015-10-30,CLE,,MIA,W 102-92,*,33:56,13,19,.684,0,2,.000,13,17,.765,.684,3,5,.600,2,3,5,4,1,0,4,3,29,21.0,7
4,915,4,2015-11-02,CLE,@,PHI,W 107-100,*,33:20,9,19,.474,0,3,.000,9,16,.563,.474,4,4,1.000,0,9,9,11,4,2,3,3,22,23.9,21
5,916,5,2015-11-04,CLE,,NYK,W 96-86,*,35:04,9,23,.391,1,5,.200,8,18,.444,.413,4,7,.571,2,3,5,3,4,1,3,1,23,15.0,14
6,917,6,2015-11-06,CLE,,PHI,W 108-102,*,36:20,12,22,.545,3,5,.600,9,17,.529,.614,4,6,.667,0,4,4,13,2,0,2,1,31,29.5,24
7,918,7,2015-11-08,CLE,,IND,W 101-97,*,35:01,10,23,.435,0,3,.000,10,20,.500,.435,9,14,.643,0,6,6,4,0,0,2,0,29,17.5,1
8,919,8,2015-11-10,CLE,,UTA,W 118-114,*,37:51,11,19,.579,1,3,.333,10,16,.625,.605,8,12,.667,3,4,7,8,2,0,5,2,31,25.6,4
9,920,9,2015-11-13,CLE,@,NYK,W 90-84,*,39:23,12,21,.571,0,2,.000,12,19,.632,.571,7,10,.700,0,3,3,6,2,1,3,4,31,23.1,17
10,921,10,2015-11-14,CLE,@,MIL,L 105-108 (2OT),*,45:03,13,27,.481,5,11,.455,8,16,.500,.574,6,12,.500,4,8,12,5,1,3,7,3,37,24.5,-2
11,922,11,2015-11-17,CLE,@,DET,L 99-104,*,39:48,11,21,.524,4,7,.571,7,14,.500,.619,4,5,.800,0,6,6,3,0,0,4,3,30,18.0,-6
12,923,12,2015-11-19,CLE,,MIL,W 115-100,*,34:59,9,13,.692,1,1,1.000,8,12,.667,.731,8,9,.889,3,6,9,6,0,0,4,3,27,24.0,13
13,924,13,2015-11-21,CLE,,ATL,W 109-97,*,33:20,8,15,.533,1,2,.500,7,13,.538,.567,2,2,1.000,2,9,11,8,0,2,3,1,19,19.4,17
14,925,14,2015-11-23,CLE,,ORL,W 117-103,*,34:58,7,14,.500,0,2,.000,7,12,.583,.500,1,5,.200,0,6,6,13,1,0,2,0,15,16.3,29
15,926,15,2015-11-25,CLE,@,TOR,L 99-103,*,39:46,6,16,.375,1,5,.200,5,11,.455,.406,11,12,.917,2,4,6,8,0,0,2,1,24,20.6,13
16,927,16,2015-11-27,CLE,@,CHO,W 95-90,*,38:13,8,20,.400,2,5,.400,6,15,.400,.450,7,9,.778,2,11,13,5,0,0,3,2,25,17.8,1
17,928,17,2015-11-28,CLE,,BRK,W 90-88,*,35:43,10,22,.455,1,6,.167,9,16,.563,.477,5,6,.833,2,7,9,5,1,0,2,0,26,20.2,-1
18,929,18,2015-12-01,CLE,,WAS,L 85-97,*,37:23,8,20,.400,0,3,.000,8,17,.471,.400,8,8,1.000,4,9,13,4,1,1,9,3,24,13.0,-12
19,930,19,2015-12-04,CLE,@,NOP,L 108-114 (OT),*,44:47,13,29,.448,1,5,.200,12,24,.500,.466,10,11,.909,2,5,7,8,1,1,5,4,37,25.1,-4
