Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,179,1,2016-04-17,CLE,,DET,W 106-101,*,40:51,9,17,.529,0,3,.000,9,14,.643,.529,4,4,1.000,1,5,6,11,2,2,1,3,22,24.8,18
2,180,2,2016-04-20,CLE,,DET,W 107-90,*,39:44,12,18,.667,2,4,.500,10,14,.714,.722,1,3,.333,1,5,6,3,3,0,5,3,27,19.5,10
3,181,3,2016-04-22,CLE,@,DET,W 101-91,*,42:55,8,24,.333,1,6,.167,7,18,.389,.354,3,5,.600,1,12,13,7,0,1,5,2,20,9.7,17
4,182,4,2016-04-24,CLE,@,DET,W 100-98,*,41:27,9,19,.474,1,6,.167,8,13,.615,.500,3,3,1.000,2,9,11,6,2,0,2,4,22,19.0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,183,5,2016-05-02,CLE,,ATL,W 104-93,*,40:34,11,21,.524,2,4,.500,9,17,.529,.571,1,1,1.000,0,7,7,9,5,1,4,3,25,23.6,16
6,184,6,2016-05-04,CLE,,ATL,W 123-98,*,28:08,9,15,.600,4,6,.667,5,9,.556,.733,5,9,.556,0,4,4,5,3,0,2,4,27,22.6,24
7,185,7,2016-05-06,CLE,@,ATL,W 121-108,*,38:58,8,16,.500,1,4,.250,7,12,.583,.531,7,9,.778,2,11,13,8,2,0,5,2,24,21.7,17
8,186,8,2016-05-08,CLE,@,ATL,W 100-99,*,37:52,10,23,.435,1,5,.200,9,18,.500,.457,0,3,.000,5,5,10,9,2,1,6,2,21,14.9,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,187,9,2016-05-17,CLE,,TOR,W 115-84,*,28:18,11,13,.846,0,1,.000,11,12,.917,.846,2,4,.500,2,4,6,4,2,1,4,3,24,21.4,20
10,188,10,2016-05-19,CLE,,TOR,W 108-89,*,33:45,7,13,.538,0,2,.000,7,11,.636,.538,9,17,.529,1,10,11,11,3,0,2,2,23,25.1,16
11,189,11,2016-05-21,CLE,@,TOR,L 84-99,*,38:50,9,17,.529,1,5,.200,8,12,.667,.559,5,7,.714,4,4,8,5,2,0,2,3,24,21.2,-12
12,190,12,2016-05-23,CLE,@,TOR,L 99-105,*,45:48,11,16,.688,1,3,.333,10,13,.769,.719,6,6,1.000,4,5,9,6,2,1,1,3,29,31.2,-3
13,191,13,2016-05-25,CLE,,TOR,W 116-78,*,31:30,10,17,.588,2,4,.500,8,13,.615,.647,1,3,.333,0,6,6,8,2,1,2,2,23,21.6,32
14,192,14,2016-05-27,CLE,@,TOR,W 113-87,*,41:15,13,22,.591,3,6,.500,10,16,.625,.659,4,7,.571,2,9,11,6,1,3,3,2,33,29.2,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,193,15,2016-06-02,CLE,@,GSW,L 89-104,*,40:53,9,21,.429,2,4,.500,7,17,.412,.476,3,4,.750,4,8,12,9,2,1,4,2,23,20.9,-9
16,194,16,2016-06-05,CLE,@,GSW,L 77-110,*,33:38,7,17,.412,1,5,.200,6,12,.500,.441,4,4,1.000,0,8,8,9,4,1,7,3,19,15.1,-20
17,195,17,2016-06-08,CLE,,GSW,W 120-90,*,40:04,14,26,.538,1,2,.500,13,24,.542,.558,3,5,.600,2,9,11,6,1,2,5,2,32,23.5,24
18,196,18,2016-06-10,CLE,,GSW,L 97-108,*,45:34,11,21,.524,1,5,.200,10,16,.625,.548,2,4,.500,4,9,13,9,2,3,7,4,25,21.2,-12
19,197,19,2016-06-13,CLE,@,GSW,W 112-97,*,42:38,16,30,.533,4,8,.500,12,22,.545,.600,5,8,.625,4,12,16,7,3,3,2,1,41,39.2,13
20,198,20,2016-06-16,CLE,,GSW,W 115-101,*,42:35,16,27,.593,3,6,.500,13,21,.619,.648,6,8,.750,2,6,8,11,4,3,1,3,41,42.5,26
21,199,21,2016-06-19,CLE,@,GSW,W 93-89,*,46:49,9,24,.375,1,5,.200,8,19,.421,.396,8,10,.800,1,10,11,11,2,3,5,1,27,23.1,4
,,,,,,,16-5,21,825,219,417,.525,32,94,.340,187,323,.579,.564,82,124,.661,42,158,200,160,49,27,75,54,552,23.4,210
