Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,428,1,1990-11-02,CHI,,PHI,L 116-124,*,34:00,14,24,.583,1,3,.333,13,21,.619,.604,5,5,1.000,3,2,5,7,7,0,5,4,34,30.8
2,429,2,1990-11-03,CHI,@,WSB,L 102-103,*,46:00,11,22,.500,0,0,,11,22,.500,.500,6,9,.667,4,6,10,1,1,0,2,2,28,19.3
3,430,3,1990-11-06,CHI,,BOS,L 108-110,*,45:00,14,28,.500,0,1,.000,14,27,.519,.500,5,6,.833,3,5,8,12,3,0,2,4,33,30.0
4,431,4,1990-11-07,CHI,@,MIN,W 96-91,*,39:00,7,14,.500,0,0,,7,14,.500,.500,3,5,.600,2,3,5,6,0,1,1,5,17,13.4
5,432,5,1990-11-09,CHI,@,BOS,W 120-100,*,34:00,17,25,.680,0,1,.000,17,24,.708,.680,7,8,.875,1,4,5,6,2,0,3,3,41,33.8
6,433,6,1990-11-10,CHI,,CHH,W 105-86,*,36:00,8,15,.533,0,0,,8,15,.533,.533,7,8,.875,1,5,6,8,3,0,3,1,23,22.7
7,434,7,1990-11-13,CHI,@,UTA,W 84-82,*,38:00,10,22,.455,1,1,1.000,9,21,.429,.477,8,10,.800,3,8,11,5,1,2,1,1,29,25.8
8,435,8,1990-11-15,CHI,@,GSW,L 93-103,*,38:00,6,12,.500,0,1,.000,6,11,.545,.500,2,3,.667,2,6,8,6,1,1,2,4,14,13.1
9,436,9,1990-11-17,CHI,@,SEA,W 116-95,*,27:00,13,20,.650,0,0,,13,20,.650,.650,7,8,.875,1,3,4,3,7,1,1,0,33,34.2
10,437,10,1990-11-18,CHI,@,POR,L 112-125,*,41:00,12,25,.480,0,2,.000,12,23,.522,.480,5,6,.833,0,5,5,7,1,1,2,4,29,20.4
11,438,11,1990-11-21,CHI,@,PHO,L 107-109,*,40:00,15,32,.469,0,0,,15,32,.469,.469,4,4,1.000,0,4,4,4,4,0,3,1,34,22.2
12,439,12,1990-11-23,CHI,@,LAC,W 105-97,*,31:00,5,12,.417,0,0,,5,12,.417,.417,4,4,1.000,3,3,6,7,3,0,2,3,14,15.3
13,440,13,1990-11-24,CHI,@,DEN,W 151-145,*,40:00,14,24,.583,0,0,,14,24,.583,.583,10,10,1.000,1,6,7,12,3,1,3,3,38,37.2
14,441,14,1990-11-28,CHI,,WSB,W 118-94,*,27:00,11,15,.733,0,0,,11,15,.733,.733,2,3,.667,0,2,2,7,3,1,1,2,24,24.9
15,442,15,1990-11-30,CHI,,IND,W 124-95,*,33:00,15,19,.789,0,0,,15,19,.789,.789,7,9,.778,1,4,5,3,2,2,1,4,37,33.7
