Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,54,1,1991-04-25,CHI,,NYK,W 126-85,*,32:00,8,15,.533,3,4,.750,5,11,.455,.633,9,9,1.000,1,5,6,6,2,0,1,2,28,27.3
2,55,2,1991-04-28,CHI,,NYK,W 89-79,*,42:00,9,16,.563,0,0,,9,16,.563,.563,8,9,.889,1,4,5,5,0,1,2,2,26,21.3
3,56,3,1991-04-30,CHI,@,NYK,W 103-94,*,39:00,14,28,.500,0,2,.000,14,26,.538,.500,5,5,1.000,1,2,3,7,6,1,1,3,33,29.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,57,4,1991-05-04,CHI,,PHI,W 105-92,*,31:00,8,15,.533,0,1,.000,8,14,.571,.533,13,15,.867,0,5,5,5,3,1,1,2,29,27.8
5,58,5,1991-05-06,CHI,,PHI,W 112-100,*,40:00,12,26,.462,0,5,.000,12,21,.571,.462,5,7,.714,1,7,8,9,1,1,1,4,29,23.0
6,59,6,1991-05-10,CHI,@,PHI,L 97-99,*,42:00,20,34,.588,0,0,,20,34,.588,.588,6,9,.667,0,4,4,6,1,4,2,3,46,35.0
7,60,7,1991-05-12,CHI,@,PHI,W 101-85,*,41:00,11,27,.407,2,3,.667,9,24,.375,.444,1,2,.500,0,4,4,12,4,0,1,4,25,21.1
8,61,8,1991-05-14,CHI,,PHI,W 100-95,*,42:00,14,31,.452,0,2,.000,14,29,.483,.452,10,11,.909,4,15,19,7,0,1,4,3,38,29.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,62,9,1991-05-19,CHI,,DET,W 94-83,*,38:00,6,15,.400,0,1,.000,6,14,.429,.400,10,13,.769,0,3,3,6,3,0,6,4,22,13.2
10,63,10,1991-05-21,CHI,,DET,W 105-97,*,39:00,10,20,.500,2,2,1.000,8,18,.444,.550,13,14,.929,2,1,3,7,2,0,3,2,35,29.4
11,64,11,1991-05-25,CHI,@,DET,W 113-107,*,46:00,11,19,.579,0,0,,11,19,.579,.579,11,12,.917,0,7,7,7,3,5,1,4,33,34.6
12,65,12,1991-05-27,CHI,@,DET,W 115-94,*,37:00,11,17,.647,1,2,.500,10,15,.667,.676,6,9,.667,0,8,8,8,1,2,2,2,29,27.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,66,13,1991-06-02,CHI,,LAL,L 91-93,*,40:00,14,24,.583,1,1,1.000,13,23,.565,.604,7,9,.778,2,6,8,12,3,0,4,5,36,32.6
14,67,14,1991-06-05,CHI,,LAL,W 107-86,*,36:00,15,18,.833,0,1,.000,15,17,.882,.833,3,4,.750,1,6,7,13,2,1,4,4,33,34.7
15,68,15,1991-06-07,CHI,@,LAL,W 104-96 (OT),*,52:00,11,28,.393,1,1,1.000,10,27,.370,.411,6,6,1.000,4,5,9,9,4,2,3,5,29,24.8
16,69,16,1991-06-09,CHI,@,LAL,W 97-82,*,44:00,11,20,.550,0,1,.000,11,19,.579,.550,6,6,1.000,1,4,5,13,0,2,1,3,28,28.6
17,70,17,1991-06-12,CHI,@,LAL,W 108-101,*,48:00,12,23,.522,0,0,,12,23,.522,.522,6,8,.750,0,4,4,10,5,2,6,1,30,26.1
,,,,,,,15-2,17,689,197,376,.524,10,26,.385,187,350,.534,.537,125,148,.845,18,90,108,142,40,23,43,53,529,27.4
