Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,122,1,1996-04-26,CHI,,MIA,W 102-85,*,38:00,13,22,.591,0,1,.000,13,21,.619,.591,9,12,.750,2,2,4,2,1,1,4,5,35,22.7
2,123,2,1996-04-28,CHI,,MIA,W 106-75,*,32:00,9,17,.529,2,3,.667,7,14,.500,.588,9,12,.750,0,4,4,4,1,0,0,0,29,24.5
3,124,3,1996-05-01,CHI,@,MIA,W 112-91,*,33:00,10,23,.435,3,6,.500,7,17,.412,.500,3,3,1.000,1,2,3,2,3,0,0,0,26,19.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,125,4,1996-05-05,CHI,,NYK,W 91-84,*,41:00,17,35,.486,1,5,.200,16,30,.533,.500,9,9,1.000,1,4,5,2,0,0,1,4,44,27.0
5,126,5,1996-05-07,CHI,,NYK,W 91-80,*,40:00,11,25,.440,1,3,.333,10,22,.455,.460,5,5,1.000,3,2,5,5,3,0,2,0,28,22.1
6,127,6,1996-05-11,CHI,@,NYK,L 99-102 (OT),*,51:00,17,35,.486,2,5,.400,15,30,.500,.514,10,13,.769,3,1,4,2,2,0,4,2,46,28.1
7,128,7,1996-05-12,CHI,@,NYK,W 94-91,*,40:00,7,23,.304,2,7,.286,5,16,.313,.348,11,13,.846,2,6,8,8,2,1,0,5,27,22.4
8,129,8,1996-05-14,CHI,,NYK,W 94-81,*,43:00,13,29,.448,1,2,.500,12,27,.444,.466,8,9,.889,1,1,2,5,2,0,2,5,35,22.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,130,9,1996-05-19,CHI,,ORL,W 121-83,*,37:00,9,17,.529,1,2,.500,8,15,.533,.559,2,3,.667,2,5,7,4,2,0,3,3,21,15.8
10,131,10,1996-05-21,CHI,,ORL,W 93-88,*,43:00,9,21,.429,2,4,.500,7,17,.412,.476,15,16,.938,1,4,5,6,4,1,2,2,35,31.5
11,132,11,1996-05-25,CHI,@,ORL,W 86-67,*,39:00,5,14,.357,1,1,1.000,4,13,.308,.393,6,11,.545,3,4,7,4,2,1,2,1,17,13.6
12,133,12,1996-05-27,CHI,@,ORL,W 106-101,*,44:00,16,23,.696,3,4,.750,13,19,.684,.761,10,14,.714,2,1,3,5,1,1,4,5,45,34.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,134,13,1996-06-05,CHI,,SEA,W 107-90,*,41:00,9,18,.500,1,4,.250,8,14,.571,.528,9,10,.900,0,7,7,2,2,1,2,4,28,21.2
14,135,14,1996-06-07,CHI,,SEA,W 92-88,*,43:00,9,22,.409,1,2,.500,8,20,.400,.432,10,16,.625,2,4,6,8,2,0,2,3,29,21.8
15,136,15,1996-06-09,CHI,@,SEA,W 108-86,*,41:00,11,23,.478,3,4,.750,8,19,.421,.543,11,11,1.000,2,1,3,5,2,0,3,1,36,28.1
16,137,16,1996-06-12,CHI,@,SEA,L 86-107,*,41:00,6,19,.316,0,2,.000,6,17,.353,.316,11,13,.846,1,2,3,2,1,0,4,3,23,9.8
17,138,17,1996-06-14,CHI,@,SEA,L 78-89,*,43:00,11,22,.500,0,4,.000,11,18,.611,.500,4,5,.800,2,2,4,1,1,0,2,3,26,15.1
18,139,18,1996-06-16,CHI,,SEA,W 87-75,*,43:00,5,19,.263,1,3,.333,4,16,.250,.289,11,12,.917,3,6,9,7,2,0,5,3,22,14.9
,,,,,,,15-3,18,733,187,407,.459,25,62,.403,162,345,.470,.490,153,187,.818,31,58,89,74,33,6,42,49,552,21.9
