Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,767,1,1996-11-01,CHI,@,BOS,W 107-98,*,43:27,10,22,.455,0,5,.000,10,17,.588,.455,10,13,.769,1,3,4,3,0,0,1,2,30,19.3,11
2,768,2,1996-11-02,CHI,,PHI,W 115-86,*,30:19,11,20,.550,3,7,.429,8,13,.615,.625,2,2,1.000,1,1,2,5,4,0,2,2,27,23.1,15
3,769,3,1996-11-05,CHI,,VAN,W 96-73,*,31:24,9,18,.500,3,5,.600,6,13,.462,.583,1,1,1.000,2,5,7,3,4,0,4,2,22,17.2,24
4,770,4,1996-11-06,CHI,@,MIA,W 106-100,*,39:35,18,33,.545,1,2,.500,17,31,.548,.561,13,14,.929,1,5,6,0,1,1,0,1,50,37.2,9
5,771,5,1996-11-08,CHI,@,DET,W 98-80,*,35:43,6,14,.429,1,3,.333,5,11,.455,.464,2,2,1.000,1,3,4,8,1,0,0,3,15,14.6,16
6,772,6,1996-11-09,CHI,,BOS,W 104-92,*,31:35,10,23,.435,0,2,.000,10,21,.476,.435,7,11,.636,2,1,3,3,1,0,0,2,27,17.3,15
7,773,7,1996-11-11,CHI,,PHO,W 97-79,*,35:30,12,21,.571,1,1,1.000,11,20,.550,.595,1,2,.500,1,1,2,5,1,1,3,1,26,18.5,11
8,774,8,1996-11-13,CHI,,MIA,W 103-71,*,33:38,8,23,.348,0,1,.000,8,22,.364,.348,12,16,.750,1,4,5,3,1,0,0,3,28,17.3,5
9,775,9,1996-11-15,CHI,@,CHH,W 110-87,*,28:43,15,25,.600,4,5,.800,11,20,.550,.680,4,4,1.000,0,1,1,2,1,1,1,2,38,28.1,34
10,776,10,1996-11-16,CHI,,ATL,W 97-69,*,35:09,11,23,.478,0,1,.000,11,22,.500,.478,3,4,.750,0,5,5,3,1,0,2,2,25,14.7,15
