Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,140,1,1997-04-25,CHI,,WSB,W 98-86,*,41:32,12,25,.480,0,1,.000,12,24,.500,.480,5,5,1.000,0,8,8,8,2,0,3,5,29,21.3,16
2,141,2,1997-04-27,CHI,,WSB,W 109-104,*,44:13,22,35,.629,1,2,.500,21,33,.636,.643,10,10,1.000,3,4,7,2,2,0,2,3,55,42.8,10
3,142,3,1997-04-30,CHI,@,WSB,W 96-95,*,42:37,14,24,.583,0,5,.000,14,19,.737,.583,0,0,,1,1,2,6,0,1,2,2,28,19.9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,143,4,1997-05-06,CHI,,ATL,W 100-97,*,44:07,13,25,.520,1,3,.333,12,22,.545,.540,7,10,.700,3,8,11,6,4,3,3,3,34,31.1,9
5,144,5,1997-05-08,CHI,,ATL,L 95-103,*,44:32,12,29,.414,0,6,.000,12,23,.522,.414,3,3,1.000,6,10,16,6,0,1,1,2,27,21.8,4
6,145,6,1997-05-10,CHI,@,ATL,W 100-80,*,38:29,8,20,.400,0,1,.000,8,19,.421,.400,5,5,1.000,3,6,9,3,2,2,5,3,21,13.4,18
7,146,7,1997-05-11,CHI,@,ATL,W 89-80,*,42:40,12,22,.545,0,2,.000,12,20,.600,.545,3,5,.600,2,6,8,4,2,1,5,1,27,18.9,2
8,147,8,1997-05-13,CHI,,ATL,W 107-92,*,40:29,9,23,.391,1,5,.200,8,18,.444,.413,5,5,1.000,2,5,7,7,2,0,2,0,24,19.3,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,148,9,1997-05-20,CHI,,MIA,W 84-77,*,42:10,15,31,.484,0,2,.000,15,29,.517,.484,7,10,.700,3,6,9,3,1,1,2,3,37,24.6,10
10,149,10,1997-05-22,CHI,,MIA,W 75-68,*,43:29,4,15,.267,0,1,.000,4,14,.286,.267,15,16,.938,2,7,9,3,4,1,2,1,23,21.6,6
11,150,11,1997-05-24,CHI,@,MIA,W 98-74,*,36:06,14,25,.560,1,2,.500,13,23,.565,.580,5,5,1.000,3,5,8,1,1,0,3,3,34,23.2,26
12,151,12,1997-05-26,CHI,@,MIA,L 80-87,*,44:42,9,35,.257,0,8,.000,9,27,.333,.257,11,13,.846,4,4,8,1,1,0,2,2,29,10.2,-1
13,152,13,1997-05-28,CHI,,MIA,W 100-87,*,42:36,11,31,.355,1,4,.250,10,27,.370,.371,5,6,.833,1,5,6,5,2,2,4,4,28,13.8,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,153,14,1997-06-01,CHI,,UTA,W 84-82,*,40:52,13,27,.481,0,0,,13,27,.481,.481,5,7,.714,1,3,4,8,0,1,0,3,31,23.2,3
15,154,15,1997-06-04,CHI,,UTA,W 97-85,*,44:54,11,20,.550,1,2,.500,10,18,.556,.575,15,21,.714,4,9,13,9,2,0,5,2,38,34.0,15
16,155,16,1997-06-06,CHI,@,UTA,L 93-104,*,40:31,9,22,.409,4,10,.400,5,12,.417,.500,4,5,.800,0,3,3,6,1,2,1,1,26,19.9,-10
17,156,17,1997-06-08,CHI,@,UTA,L 73-78,*,42:05,11,27,.407,0,4,.000,11,23,.478,.407,0,0,,1,3,4,4,0,0,3,3,22,7.7,-6
18,157,18,1997-06-11,CHI,@,UTA,W 90-88,*,44:17,13,27,.481,2,5,.400,11,22,.500,.519,10,12,.833,2,5,7,5,3,1,3,3,38,29.4,4
19,158,19,1997-06-13,CHI,,UTA,W 90-86,*,43:36,15,35,.429,1,4,.250,14,31,.452,.443,8,10,.800,1,10,11,4,1,1,1,2,39,26.1,0
,,,,,,,15-4,19,805,227,498,.456,13,67,.194,214,431,.497,.469,123,148,.831,42,108,150,91,30,17,49,46,590,22.2,136
